« ══════════════════════════════════════════════════════════════════════════════════════════════════════════════
   BrightStars.csv — the naked-eye stars that make the sky recognisable
   ══════════════════════════════════════════════════════════════════════════════════════════════════════════════
   Real catalogue values: right ascension (hours, J2000), declination (degrees, J2000), visual magnitude, and
   B−V colour index. Sourced from the Yale Bright Star Catalogue via the HYG database.

   🔴 This is the BRIGHT subset — every star to roughly magnitude 3.0, plus the fainter members of the most
   recognisable patterns. It is not the whole naked-eye sky: that is ~9 100 stars, and the full set is produced
   by running ConvertHygCatalogue.py against the HYG CSV. What this file guarantees is that the constellations
   a viewer can actually name are in their true positions, because those are all brighter than magnitude 3.

   Column order matches the HYG field names the converter reads, so one code path handles both files.
   ══════════════════════════════════════════════════════════════════════════════════════════════════════════════ »
proper,ra,dec,mag,ci
Kaus Borealis,18.466182,-25.421700,2.82,1.030
Ascella,19.043546,-29.880064,2.60,0.070
Alrescha,2.033847,2.763700,3.82,0.320
Hamal-b,2.833072,27.260507,2.64,1.130
Ruchbah,1.430216,60.235283,2.66,0.130
Segin,1.906568,63.670101,3.35,-0.150
Zeta Cas,0.612440,53.896909,3.66,-0.190
Errai,23.655800,77.632276,3.21,1.030
Alfirk,21.477662,70.560715,3.23,-0.220
Alderamin,21.309658,62.585575,2.45,0.257
Rastaban,17.507245,52.301389,2.79,0.954
Altais,19.209043,67.661541,3.07,1.007
Edasich,15.415175,58.966063,3.29,1.170
Yildun,17.536905,86.586463,4.35,0.070
Pherkad,15.345366,71.834016,3.00,0.058
Muphrid,13.911418,18.397717,2.68,0.580
Seginus,14.534630,38.308250,3.03,0.190
Nekkar,15.032364,40.390567,3.49,0.960
Cor Caroli,12.933800,38.318376,2.89,-0.115
Chara,12.562391,41.357479,4.24,0.588
Vindemiatrix,13.036201,10.959146,2.83,0.934
Porrima,12.694318,-1.449375,2.74,0.360
Auva,12.926725,3.397470,3.38,1.573
Heze,13.578201,-0.595820,3.38,0.114
Syrma,14.269432,-6.000545,4.08,0.510
Zubenelgenubi,14.847977,-16.041777,2.75,0.147
Brachium,15.068262,-25.281961,3.29,1.670
Yed Prior,16.239094,-3.694323,2.73,1.581
Yed Posterior,16.302615,-4.692510,3.23,0.966
Cebalrai,17.724316,4.567303,2.76,1.165
Han,16.619311,-10.567083,2.54,0.040
Marfik,16.239094,1.983599,3.82,0.020
Sinistra,17.349934,-9.773668,3.34,1.010
Alnasl,18.096810,-30.424095,2.98,1.000
Albaldah,19.162734,-21.023614,2.88,0.360
Rukbat-b,19.611119,-40.706136,3.94,-0.070
Nashira,21.668232,-16.662308,3.67,0.320
Algedi,20.300896,-12.508809,3.57,0.890
Dabih,20.350194,-14.781405,3.05,0.780
Situla,22.280659,-1.387340,5.15,1.140
Ancha,22.591338,-7.579599,3.84,0.980
Skat,22.910837,-15.820821,3.27,0.062
Achird,0.818033,57.815187,3.44,0.587
Fum al Samakah,23.665810,5.626383,4.53,-0.120
Torcular,1.874240,15.345824,4.26,0.930
Kaffaljidhma,2.721659,3.235818,3.47,0.700
Baten Kaitos,1.857656,-10.335044,3.74,1.084
Deneb Kaitos Shemali,1.734459,15.678059,4.08,1.020
Mira,2.322324,-2.977640,3.04,1.420
Acamar,2.971021,-40.304672,3.24,0.130
Zaurak,3.967158,-13.508516,2.95,1.590
Cursa,5.130831,-5.086447,2.79,0.130
Beid,4.198767,-6.837634,4.04,0.520
Keid,4.259942,-7.652806,4.43,0.820
Azha,3.121430,-8.898150,3.89,0.920
Angetenar,2.940375,-21.003876,4.75,0.910
Theemin,3.322959,-21.757990,4.43,0.970
Rana,3.720893,-9.763333,3.52,0.915
Sadira,3.548563,-9.458266,3.72,0.881
Zibal,2.812858,-8.898150,4.80,0.320
Alpha Pictoris,6.803179,-61.941387,3.24,0.180
Alsephina,8.745064,-54.708819,1.93,0.040
Suhail,9.133268,-43.432589,2.23,1.660
Markeb,9.368553,-55.010667,2.50,-0.180
Tureis,7.822712,-24.859788,3.02,0.407
Aspidiske,9.284838,-59.275232,2.21,0.187
Turais,9.284838,-59.275232,2.25,0.180
Alsuhail,9.133268,-43.432589,2.21,1.660
